"rt","button_pressed","isTarget","time_elapsed","correct","time_onset"
"778","0","false","49258","true","48480"
"695","0","false","50460","true","49765"
"null","null","true","52967","true","50967"
"595","0","false","54074","true","53479"
"513","0","false","55094","true","54581"
"616","0","false","56218","true","55602"
"494","0","false","57220","true","56726"
"499","0","false","58228","true","57729"
"441","0","false","59174","true","58733"
"563","0","false","60241","true","59678"
"743","0","false","71589","true","70846"
"558","0","false","72653","true","72095"
"501","0","false","73662","true","73161"
"447","0","false","74614","true","74167"
"460","0","false","75580","true","75120"
"null","null","true","78087","true","76087"
"559","0","false","79161","true","78602"
"546","0","false","80213","true","79667"
"null","null","true","82719","true","80719"
"530","0","false","83759","true","83229"
"492","0","false","84760","true","84268"
"457","0","false","85726","true","85269"
"593","0","false","86830","true","86237"
"461","0","false","87804","true","87343"
"455","0","false","88766","true","88311"
"490","0","false","89763","true","89273"
"447","0","false","90717","true","90270"
"551","0","false","91778","true","91227"
"459","0","false","92747","true","92288"
"453","0","false","93704","true","93251"
"null","null","true","96217","true","94217"
"563","0","false","97290","true","96727"
"472","0","false","98268","true","97796"
"420","0","false","99192","true","98772"
"433","0","false","100130","true","99697"
"462","0","false","101103","true","100641"
"437","0","false","102046","true","101609"
"459","0","false","103010","true","102551"
"null","null","true","105519","true","103519"
"575","0","false","106607","true","106032"
"424","0","false","107537","true","107113"
"425","0","false","108469","true","108044"
"380","0","false","109356","true","108976"
"411","0","false","110275","true","109864"
"435","0","false","111218","true","110783"
"450","0","false","112178","true","111728"
"434","0","false","113120","true","112686"
"419","0","false","114045","true","113626"
"440","0","false","114992","true","114552"
"416","0","false","115916","true","115500"
"448","0","false","116874","true","116426"
"490","0","false","117868","true","117378"
"453","0","false","118827","true","118374"
"470","0","false","119802","true","119332"
"434","0","false","120743","true","120309"
"353","0","false","121603","true","121250"
"377","0","false","122486","true","122109"
"399","0","false","123393","true","122994"
"387","0","false","124287","true","123900"
"411","0","false","125204","true","124793"
"390","0","false","126100","true","125710"
"null","null","true","128606","true","126606"
"598","0","false","129714","true","129116"
"439","0","false","130662","true","130223"
"412","0","false","131583","true","131171"
"400","0","false","132488","true","132088"
"null","null","true","134994","true","132994"
"689","0","false","136196","true","135507"
"446","0","false","137149","true","136703"
"491","0","false","138144","true","137653"
"null","null","true","140651","true","138651"
"578","0","false","141742","true","141164"
"430","0","false","142678","true","142248"
"611","0","false","143795","true","143184"
"447","0","false","144749","true","144302"
"542","0","false","145797","true","145255"
"365","0","false","146669","true","146304"
"417","0","false","147591","true","147174"
"487","0","false","148586","true","148099"
"427","0","false","149524","true","149097"
"466","0","false","150499","true","150033"
"433","0","false","151442","true","151009"
"414","0","false","152363","true","151949"
"472","0","false","153341","true","152869"
"361","0","false","154209","true","153848"
"483","0","false","155197","true","154714"
"457","0","false","156166","true","155709"
"null","null","true","158675","true","156675"
"617","0","false","159806","true","159189"
"440","0","false","160754","true","160314"
"415","0","true","161675","false","161260"
"512","0","false","162693","true","162181"
"492","0","false","163695","true","163203"
"357","0","true","164562","false","164205"
"639","0","false","165707","true","165068"
"532","0","false","166747","true","166215"
"523","0","false","167775","true","167252"
"470","0","false","168752","true","168282"
"475","0","false","169734","true","169259"
"492","0","false","170733","true","170241"
"457","0","false","171696","true","171239"
"583","0","false","172786","true","172203"
"464","0","false","173756","true","173292"
"473","0","false","174735","true","174262"
"539","0","false","175779","true","175240"
"504","0","false","176791","true","176287"
"599","0","false","177896","true","177297"
"446","0","false","178845","true","178399"
"475","0","false","179825","true","179350"
"556","0","false","180885","true","180329"
"902","0","false","195798","true","194896"
"448","0","false","196754","true","196306"
"469","0","false","197733","true","197264"
"null","null","true","200244","true","198244"
"563","0","false","201318","true","200755"
"462","0","false","202290","true","201828"
"448","0","false","203247","true","202799"
"444","0","false","204198","true","203754"
"544","0","false","205247","true","204703"
"440","0","false","206193","true","205753"
"415","0","false","207115","true","206700"
"null","null","true","209624","true","207624"
"523","0","false","210661","true","210138"
"413","0","false","211581","true","211168"
"410","0","false","212497","true","212087"
"390","0","false","213395","true","213005"
"386","0","false","214288","true","213902"
"415","0","false","215210","true","214795"
"398","0","false","216115","true","215717"
"456","0","false","217080","true","216624"
"518","0","false","218105","true","217587"
"450","0","false","219065","true","218615"
"445","0","false","220015","true","219570"
"433","0","false","220955","true","220522"
"null","null","true","223461","true","221461"
"541","0","false","224512","true","223971"
"446","0","false","225466","true","225020"
"409","0","false","226382","true","225973"
"373","0","false","227262","true","226889"
"426","0","false","228195","true","227769"
"546","0","false","229250","true","228704"
"472","0","false","230232","true","229760"
"null","null","true","232739","true","230739"
"516","0","false","233766","true","233250"
"452","0","false","234726","true","234274"
"422","0","false","235654","true","235232"
"389","0","false","236549","true","236160"
"403","0","false","237456","true","237053"
"513","0","false","238475","true","237962"
"475","0","false","239455","true","238980"
"541","0","false","240502","true","239961"
"null","null","true","243008","true","241008"
"null","null","true","245519","true","243519"
"526","0","false","246556","true","246030"
"446","0","false","247507","true","247061"
