"rt","button_pressed","isTarget","time_elapsed","correct","time_onset"
"1390","0","false","60974","true","59584"
"528","0","false","62013","true","61485"
"447","0","false","62967","true","62520"
"451","0","false","63929","true","63478"
"447","0","false","64882","true","64435"
"450","0","false","65841","true","65391"
"445","0","false","66794","true","66349"
"470","0","false","67772","true","67302"
"523","0","false","68801","true","68278"
"null","null","true","71307","true","69307"
"null","null","true","80932","true","78932"
"535","0","false","81979","true","81444"
"525","0","false","83011","true","82486"
"434","0","false","83951","true","83517"
"431","0","false","84889","true","84458"
"401","0","false","85797","true","85396"
"414","0","false","86716","true","86302"
"null","null","true","89222","true","87222"
"546","0","false","90274","true","89728"
"441","0","false","91222","true","90781"
"407","0","false","92134","true","91727"
"450","0","false","93090","true","92640"
"487","0","false","94082","true","93595"
"423","0","false","95011","true","94588"
"440","0","false","95957","true","95517"
"450","0","false","96912","true","96462"
"435","0","false","97853","true","97418"
"469","0","false","98828","true","98359"
"414","0","false","99748","true","99334"
"445","0","false","100699","true","100254"
"437","0","false","101646","true","101209"
"436","0","false","102588","true","102152"
"null","null","true","105093","true","103093"
"582","0","false","106186","true","105604"
"446","0","false","107135","true","106689"
"391","0","false","108031","true","107640"
"465","0","false","109001","true","108536"
"398","0","true","109906","false","109508"
"548","0","false","110959","true","110411"
"408","0","false","111872","true","111464"
"432","0","false","112809","true","112377"
"488","0","false","113801","true","113313"
"453","0","false","114760","true","114307"
"493","0","false","115758","true","115265"
"440","0","false","116705","true","116265"
"439","0","false","117649","true","117210"
"475","0","false","118631","true","118156"
"494","0","false","119630","true","119136"
"447","0","false","120583","true","120136"
"470","0","false","121557","true","121087"
"625","0","false","127549","true","126924"
"450","0","false","128506","true","128056"
"453","0","false","129464","true","129011"
"424","0","false","130392","true","129968"
"464","0","false","131359","true","130895"
"437","0","false","132300","true","131863"
"489","0","false","133293","true","132804"
"488","0","false","134288","true","133800"
"432","0","false","135226","true","134794"
"450","0","false","136179","true","135729"
"460","0","false","137143","true","136683"
"433","0","false","138081","true","137648"
"451","0","false","139036","true","138585"
"null","null","true","141544","true","139544"
"513","0","false","142574","true","142061"
"422","0","false","143501","true","143079"
"null","null","true","146007","true","144007"
"469","0","false","146989","true","146520"
"458","0","false","147955","true","147497"
"495","0","false","148956","true","148461"
"434","0","false","149896","true","149462"
"447","0","false","150848","true","150401"
"437","0","false","151789","true","151352"
"459","0","false","152755","true","152296"
"416","0","false","153676","true","153260"
"493","0","false","154675","true","154182"
"503","0","false","155684","true","155181"
"437","0","false","156626","true","156189"
"null","null","true","159133","true","157133"
"464","0","false","160109","true","159645"
"373","0","false","160987","true","160614"
"415","0","false","161906","true","161491"
"408","0","false","162819","true","162411"
"525","0","false","163849","true","163324"
"365","0","false","164720","true","164355"
"431","0","false","165658","true","165227"
"412","0","false","166575","true","166163"
"null","null","true","169080","true","167080"
"484","0","false","170077","true","169593"
"363","0","false","170944","true","170581"
"360","0","false","171810","true","171450"
"412","0","false","172726","true","172314"
"413","0","false","173642","true","173229"
"403","0","false","174550","true","174147"
"348","0","true","175405","false","175057"
"null","null","true","177917","true","175917"
"487","0","false","178918","true","178431"
"448","0","false","179875","true","179427"
"558","0","false","180942","true","180384"
"523","0","false","181971","true","181448"
"436","0","false","182913","true","182477"
"473","0","false","183890","true","183417"
"599","0","false","184993","true","184394"
"465","0","false","185963","true","185498"
"422","0","false","186892","true","186470"
"418","0","false","187814","true","187396"
"474","0","false","188793","true","188319"
"432","0","false","189731","true","189299"
"448","0","false","190685","true","190237"
"460","0","false","191650","true","191190"
"618","0","false","196676","true","196058"
"481","0","false","197664","true","197183"
"457","0","false","198627","true","198170"
"455","0","false","199587","true","199132"
"453","0","false","200547","true","200094"
"null","null","true","203053","true","201053"
"551","0","false","204116","true","203565"
"480","0","false","205103","true","204623"
"458","0","false","206065","true","205607"
"468","0","false","207038","true","206570"
"501","0","false","208046","true","207545"
"465","0","false","209018","true","208553"
"566","0","false","210092","true","209526"
"null","null","true","212598","true","210598"
"746","0","false","213851","true","213105"
"507","0","false","214864","true","214357"
"430","0","false","215799","true","215369"
"395","0","false","216697","true","216302"
"419","0","false","217621","true","217202"
"418","0","false","218545","true","218127"
"477","0","false","219527","true","219050"
"445","0","false","220478","true","220033"
"493","0","false","221477","true","220984"
"538","0","false","222519","true","221981"
"529","0","false","223553","true","223024"
"406","0","false","224464","true","224058"
"449","0","false","225420","true","224971"
"469","0","false","226393","true","225924"
"452","0","false","227349","true","226897"
"396","0","false","228249","true","227853"
"466","0","false","229220","true","228754"
"701","0","false","230426","true","229725"
"null","null","true","232937","true","230937"
"514","0","false","233960","true","233446"
"335","0","false","234800","true","234465"
"390","0","false","235697","true","235307"
"385","0","false","236585","true","236200"
"365","0","false","237456","true","237091"
"341","0","false","238302","true","237961"
"374","0","true","239181","false","238807"
"599","0","false","244209","true","243610"
"401","0","false","245119","true","244718"
"565","0","false","246192","true","245627"
"1049","0","false","247748","true","246699"
"478","0","false","248730","true","248252"
"467","0","false","249704","true","249237"
"496","0","false","250705","true","250209"
"659","0","false","251869","true","251210"
"null","null","true","254376","true","252376"
"531","0","false","255424","true","254893"
"508","0","false","256441","true","255933"
"null","null","true","258947","true","256947"
"750","0","false","260206","true","259456"
