"rt","responses","time_elapsed"
"6388","1 專注在這個作業上","165364"
"2634","3","168006"
"2947","2 被別的刺激分心","191237"
"3979","3","195219"
"2150","3 在思考與作業無關的事情","217481"
"3187","2","220673"
"2662","1 專注在這個作業上","282165"
"2457","5","284629"
"2415","3 在思考與作業無關的事情","303069"
"2837","3","305915"
"2770","3 在思考與作業無關的事情","326334"
"2399","5","328740"
"2927","1 專注在這個作業上","354138"
"2228","5","356370"
"2332","3 在思考與作業無關的事情","374479"
"1356","4","375839"
"2105","1 專注在這個作業上","392976"
"1242","6","394222"
"1860","1 專注在這個作業上","413457"
"1155","6","414618"
"2424","3 在思考與作業無關的事情","431691"
"1078","6","432775"
"1537","3 在思考與作業無關的事情","449912"
"1188","6","451106"
"1878","3 在思考與作業無關的事情","468863"
"3603","0","472470"
"2124","3 在思考與作業無關的事情","495157"
"1746","0","496909"
"1816","2 被別的刺激分心","512475"
"933","6","513413"
"1802","3 在思考與作業無關的事情","527955"
"1241","0","529200"
"1853","3 在思考與作業無關的事情","543996"
"1962","0","545966"
"1324","3 在思考與作業無關的事情","565055"
"1295","0","566355"
"2055","3 在思考與作業無關的事情","591321"
"2665","0","593992"
"3518","1 專注在這個作業上","640746"
"1940","5","642691"
"1392","3 在思考與作業無關的事情","656663"
"1242","0","657911"
"1803","3 在思考與作業無關的事情","674330"
"1345","0","675680"
"1877","3 在思考與作業無關的事情","692194"
"2274","0","694473"
"1620","3 在思考與作業無關的事情","709901"
"1042","0","710951"
