"rt","responses","time_elapsed"
"2073","2 被別的刺激分心","128733"
"3265","1","132006"
"3254","1 專注在這個作業上","552245"
"2708","3","554959"
"3084","2 被別的刺激分心","607880"
"1688","3","609575"
"2009","2 被別的刺激分心","709141"
"3779","0","712926"
"1812","3 在思考與作業無關的事情","757650"
"2093","0","759750"
