"rt","responses","time_elapsed"
"8784","3 在思考與作業無關的事情","455996"
"4432","4","460438"
"2555","3 在思考與作業無關的事情","486316"
"2275","3","488597"
"2307","3 在思考與作業無關的事情","562281"
"2215","3","564503"
"3100","3 在思考與作業無關的事情","589686"
"1977","2","591668"
"2203","2 被別的刺激分心","658010"
"1854","4","659872"
"1761","3 在思考與作業無關的事情","711122"
"2411","3","713539"
"1847","2 被別的刺激分心","764799"
"2247","2","767054"
"2438","2 被別的刺激分心","802014"
"2243","3","804265"
"1734","2 被別的刺激分心","828494"
"1887","2","830388"
"3061","2 被別的刺激分心","906385"
"1724","4","908115"
