"rt","responses","time_elapsed"
"4005","{""Q0"":""2 被別的刺激分心""}","48310"
"3400","{""Q0"":2}","51719"
"5366","{""Q0"":1}","57933"
"4553","{""Q0"":""1 專注在這個作業上""}","175310"
"2325","{""Q0"":3}","177640"
"2384","{""Q0"":""1 專注在這個作業上""}","220727"
"1301","{""Q0"":2}","222034"
"1842","{""Q0"":""1 專注在這個作業上""}","331514"
"1482","{""Q0"":3}","333000"
"1879","{""Q0"":""2 被別的刺激分心""}","354407"
"1969","{""Q0"":3}","356382"
"1940","{""Q0"":""1 專注在這個作業上""}","377821"
"1704","{""Q0"":3}","379531"
"1711","{""Q0"":""1 專注在這個作業上""}","423617"
"2407","{""Q0"":3}","426031"
"3018","{""Q0"":""1 專注在這個作業上""}","448566"
"1443","{""Q0"":3}","450013"
"1889","{""Q0"":""3 在思考與作業無關的事情""}","471526"
"1816","{""Q0"":3}","473345"
"1785","{""Q0"":""3 在思考與作業無關的事情""}","540636"
"1548","{""Q0"":3}","542191"
"1429","{""Q0"":""3 在思考與作業無關的事情""}","562033"
"1395","{""Q0"":3}","563431"
"1399","{""Q0"":""3 在思考與作業無關的事情""}","584696"
"1251","{""Q0"":3}","585951"
"1373","{""Q0"":""3 在思考與作業無關的事情""}","604183"
"2663","{""Q0"":3}","606849"
"1437","{""Q0"":""2 被別的刺激分心""}","624017"
"1786","{""Q0"":2}","625809"
"1520","{""Q0"":""1 專注在這個作業上""}","644360"
"1612","{""Q0"":3}","645976"
"1388","{""Q0"":""2 被別的刺激分心""}","664112"
"1705","{""Q0"":2}","665820"
"2347","{""Q0"":""1 專注在這個作業上""}","709034"
"1494","{""Q0"":2}","710535"
"1535","{""Q0"":""1 專注在這個作業上""}","729870"
"1736","{""Q0"":2}","731610"
"2140","{""Q0"":1}","733755"
