"rt","responses","time_elapsed"
"4553","1 專注在這個作業上","175310"
"2325","3","177640"
"2384","1 專注在這個作業上","220727"
"1301","2","222034"
"1842","1 專注在這個作業上","331514"
"1482","3","333000"
"1879","2 被別的刺激分心","354407"
"1969","3","356382"
"1940","1 專注在這個作業上","377821"
"1704","3","379531"
"1711","1 專注在這個作業上","423617"
"2407","3","426031"
"3018","1 專注在這個作業上","448566"
"1443","3","450013"
"1889","3 在思考與作業無關的事情","471526"
"1816","3","473345"
"1785","3 在思考與作業無關的事情","540636"
"1548","3","542191"
"1429","3 在思考與作業無關的事情","562033"
"1395","3","563431"
"1399","3 在思考與作業無關的事情","584696"
"1251","3","585951"
"1373","3 在思考與作業無關的事情","604183"
"2663","3","606849"
"1437","2 被別的刺激分心","624017"
"1786","2","625809"
"1520","1 專注在這個作業上","644360"
"1612","3","645976"
"1388","2 被別的刺激分心","664112"
"1705","2","665820"
"2347","1 專注在這個作業上","709034"
"1494","2","710535"
"1535","1 專注在這個作業上","729870"
"1736","2","731610"
