"rt","responses","time_elapsed"
"3118","1 專注在這個作業上","102901"
"3176","5","106091"
"2491","2 被別的刺激分心","222651"
"3333","3","225991"
"3875","1 專注在這個作業上","320499"
"1808","4","322310"
"2180","1 專注在這個作業上","345203"
"4320","4","349528"
"3226","1 專注在這個作業上","396924"
"1788","5","398717"
"1877","1 專注在這個作業上","422308"
"1433","4","423753"
"2008","1 專注在這個作業上","478113"
"2492","5","480613"
"2105","1 專注在這個作業上","504460"
"1853","4","506318"
"2091","2 被別的刺激分心","577243"
"1392","3","578642"
"1926","1 專注在這個作業上","631689"
"1715","4","633411"
"1465","1 專注在這個作業上","653385"
"1422","4","654814"
"1815","1 專注在這個作業上","682777"
"1263","4","684046"
"2229","2 被別的刺激分心","731829"
"1832","3","733667"
"1828","3 在思考與作業無關的事情","805265"
"1981","2","807253"
