"rt","responses","time_elapsed"
"5791","1 專注在這個作業上","157529"
"4671","5","162206"
"7884","1 專注在這個作業上","192432"
"2920","5","195357"
"4039","1 專注在這個作業上","222154"
"2954","5","225112"
"3270","1 專注在這個作業上","302161"
"4426","5","306590"
"15771","1 專注在這個作業上","371229"
"2849","5","374089"
"53849","1 專注在這個作業上","465945"
"3069","6","469020"
"4408","1 專注在這個作業上","521092"
"2118","5","523214"
"2874","1 專注在這個作業上","576074"
"2947","5","579028"
"5375","2 被別的刺激分心","667279"
"2208","4","669494"
"25693","1 專注在這個作業上","729790"
"3037","6","732833"
"6650","1 專注在這個作業上","766739"
"3394","5","770140"
"4131","1 專注在這個作業上","822481"
"88150","6","910639"
"68316","1 專注在這個作業上","1023656"
"3082","5","1026745"
"2971","1 專注在這個作業上","1075151"
"4421","5","1079578"
"2980","1 專注在這個作業上","1103198"
"5944","5","1109146"
"3489","1 專注在這個作業上","1156599"
"3065","5","1159671"
"2647","1 專注在這個作業上","1184742"
"5724","5","1190472"
"2348","1 專注在這個作業上","1215629"
"1796","5","1217430"
"4382","1 專注在這個作業上","1247529"
"2164","5","1249699"
"19991","1 專注在這個作業上","1320063"
"3675","5","1323746"
"22662","1 專注在這個作業上","1381692"
"42385","0","1424081"
