"rt","responses","time_elapsed"
"3977","{""Q0"":0}","26500"
"2307","{""Q0"":""2 被別的刺激分心""}","101659"
"2251","{""Q0"":0}","103915"
"2197","{""Q0"":""2 被別的刺激分心""}","157130"
"2227","{""Q0"":0}","159363"
"3742","{""Q0"":""3 在思考與作業無關的事情""}","379598"
"3000","{""Q0"":3}","382605"
"2682","{""Q0"":""2 被別的刺激分心""}","407452"
"2006","{""Q0"":0}","409464"
"3775","{""Q0"":""2 被別的刺激分心""}","480463"
"2974","{""Q0"":0}","483442"
"2100","{""Q0"":""2 被別的刺激分心""}","561419"
"1938","{""Q0"":0}","563361"
"2962","{""Q0"":""3 在思考與作業無關的事情""}","753577"
"1741","{""Q0"":0}","755324"
"2090","{""Q0"":0}","781106"
