"rt","responses","time_elapsed"
"11913","1 專注在這個作業上","304159"
"5478","1","309643"
"7810","1 專注在這個作業上","407530"
"2879","1","410418"
"5410","2 被別的刺激分心","510188"
"1847","1","512041"
"3902","3 在思考與作業無關的事情","543515"
"3547","5","547068"
"6681","1 專注在這個作業上","788100"
"5669","5","793779"
"2954","1 專注在這個作業上","820536"
"2432","6","822971"
