"rt","responses","time_elapsed"
"10917","1 專注在這個作業上","256766"
"2505","6","259278"
"3711","1 專注在這個作業上","284102"
"2911","3","287020"
"2627","1 專注在這個作業上","353520"
"2495","4","356019"
"1747","2 被別的刺激分心","379418"
"2396","3","381820"
"2139","1 專注在這個作業上","448380"
"2319","4","450705"
"3058","1 專注在這個作業上","526482"
"1767","2","528257"
"3431","3 在思考與作業無關的事情","572604"
"3295","4","575903"
"5687","2 被別的刺激分心","754892"
"4074","6","758976"
"1439","3 在思考與作業無關的事情","781096"
"2261","4","783364"
