"rt","responses","time_elapsed"
"5752","1 專注在這個作業上","231463"
"8868","3","240337"
"3613","1 專注在這個作業上","391039"
"5878","3","396922"
"3323","1 專注在這個作業上","429890"
"4691","3","434588"
"12003","2 被別的刺激分心","565518"
"10809","2","576336"
"6288","2 被別的刺激分心","669010"
"3539","2","672554"
"4879","1 專注在這個作業上","763965"
"2984","3","766962"
"8251","2 被別的刺激分心","853869"
"4948","2","858824"
"3109","1 專注在這個作業上","889373"
"5520","3","894899"
"4033","1 專注在這個作業上","986005"
"4829","3","990840"
"3187","2 被別的刺激分心","1100562"
"4530","2","1105098"
"2884","2 被別的刺激分心","1135457"
"27684","2","1163148"
"2738","2 被別的刺激分心","1189633"
"7143","2","1196784"
