"rt","responses","time_elapsed"
"11917","1 專注在這個作業上","157133"
"11409","2","168551"
"10584","2 被別的刺激分心","226166"
"4248","3","230417"
"4996","1 專注在這個作業上","395572"
"2918","5","398497"
"7568","3 在思考與作業無關的事情","473980"
"3770","4","477757"
"2457","3 在思考與作業無關的事情","569099"
"3115","0","572229"
"6766","1 專注在這個作業上","624060"
"2436","3","626501"
"1743","3 在思考與作業無關的事情","696267"
"3401","4","699675"
"1905","1 專注在這個作業上","725721"
"2311","4","728038"
