"rt","responses","time_elapsed"
"4013","1 專注在這個作業上","120456"
"3223","3","123686"
"4121","1 專注在這個作業上","298469"
"3656","5","302132"
"3016","2 被別的刺激分心","347180"
"5341","4","352529"
"1897","3 在思考與作業無關的事情","487096"
"2145","5","489249"
"1535","1 專注在這個作業上","553290"
"1367","5","554663"
"4811","2 被別的刺激分心","621971"
"2195","4","624172"
