"rt","responses","time_elapsed"
"2403","2 被別的刺激分心","182385"
"2999","5","185389"
"2208","1 專注在這個作業上","261610"
"3350","6","264966"
"3313","3 在思考與作業無關的事情","467405"
"2098","4","469509"
"2771","1 專注在這個作業上","519095"
"894","3","519995"
"1846","3 在思考與作業無關的事情","568626"
"2062","3","570695"
"2083","1 專注在這個作業上","595728"
"1040","3","596773"
"1832","1 專注在這個作業上","622606"
"1022","2","623633"
"2255","3 在思考與作業無關的事情","818590"
"2844","3","821447"
