"rt","responses","time_elapsed"
"9602","3 在思考與作業無關的事情","196815"
"4315","3","201139"
"3769","1 專注在這個作業上","226005"
"3801","3","229811"
"4074","3 在思考與作業無關的事情","356985"
"4480","5","361471"
"4350","2 被別的刺激分心","508643"
"2423","5","511073"
"3556","1 專注在這個作業上","612221"
"1787","4","614012"
"2452","2 被別的刺激分心","662091"
"1745","2","663840"
"5430","2 被別的刺激分心","745106"
"2152","5","747265"
"2879","1 專注在這個作業上","817261"
"2610","4","819876"
"2114","3 在思考與作業無關的事情","843947"
"4347","4","848301"
